k_means_number_of_clusters,completeness_score,homogeneity_score,silhouette_score
2.0,0.5586023431662677,0.2597376811522813,0.4672903926206453
3.0,0.48436424418801055,0.2954487793039314,0.4398713624246227
4.0,0.5516670063545608,0.4545722402509656,0.2965808239269306
5.0,0.5118770066799029,0.49243125698378454,0.31175121738213285
6.0,0.4205042682940443,0.4876805098129844,0.2727493079116707
7.0,0.39107423229197924,0.5043862319526439,0.25443942975044964
8.0,0.3989927401899884,0.5131404546213281,0.26402076613197656
9.0,0.355685257681233,0.5075385592612827,0.252615410904103
10.0,0.34011443989795903,0.5314694015285117,0.23780036890770134
